solver,step,time_s,work_units,initial_residual,final_residual,final_relative_residual,convergence_factor,sec_per_work_unit_from_campaign,estimated_pressure_time_s
MG3V,19,1.5473999968531135e-05,4.0,11142839.677988738,11199.699783399701,9.6508657818845014e-05,0.17805436497891647,0.0014682074581552514,0.0058728298326210055
MG3V,20,1.866879996223736e-05,4.0,10429420.456392154,10560.68966922164,9.9988626753474226e-05,0.17838487409135206,0.0014682074581552514,0.0058728298326210055
MG3V,21,2.2502559954684833e-05,4.0,9768491.6809586138,9423.5659766714089,9.8314827670348254e-05,0.17623693901455093,0.0014682074581552514,0.0058728298326210055
MG3V,22,2.7103071945621798e-05,4.0,9186404.9549872428,8116.3413573256694,9.3651738734904874e-05,0.17240651753465272,0.0014682074581552514,0.0058728298326210055
MG3V,23,3.2623686334746159e-05,4.0,8609240.3407077193,6670.7566770962439,8.5460979098642655e-05,0.16684091650896071,0.0014682074581552514,0.0058728298326210055
MG3V,24,3.9248423601695388e-05,4.0,8001188.7188066691,5329.8980777349789,7.6081797720875175e-05,0.16065383515588941,0.0014682074581552514,0.0058728298326210055
MG3V,25,4.7198108322034466e-05,4.0,7397589.9472657368,4267.6950527415611,6.8111956061348361e-05,0.15498004449640509,0.0014682074581552514,0.0058728298326210055
MG3V,26,5.6737729986441353e-05,4.0,6774019.4147389308,5127.8977501555346,9.1761592019667912e-05,0.16587205681395129,0.0014682074581552514,0.0058728298326210055
MG3V,27,6.6494143963285578e-05,5.0,1030194.2304851413,3955.6792525826022,7.2114541987617988e-05,0.32874593486513032,0.0014682074581552514,0.007341037290776257
MG3V,28,7.62803173865789e-05,5.0,318463.35851300508,4322.3503049202263,7.9261112978323473e-05,0.42318678570924628,0.0014682074581552514,0.007341037290776257
MG3V,29,8.6114838431844713e-05,5.0,430905.13037215918,3959.6768111994024,7.3189173027940181e-05,0.39143135849994903,0.0014682074581552514,0.007341037290776257
MG3V,30,9.6012619926341043e-05,5.0,438299.48532811552,3248.8825779163744,6.0541655813082952e-05,0.37496662250464141,0.0014682074581552514,0.007341037290776257
MG3V,31,0.00010598591101306382,4.0,458826.13434571773,4400.3306759460829,8.270563923188131e-05,0.31293871273427143,0.0014682074581552514,0.0058728298326210055
MG3V,32,0.00011604484119543379,4.0,463704.89098273963,3651.2099944865331,6.9228982035961253e-05,0.29788510209388297,0.0014682074581552514,0.0058728298326210055
MG3V,33,0.00012619792795215168,4.0,470121.56304308027,2753.3017339094076,5.2673340664876979e-05,0.27663740956660549,0.0014682074581552514,0.0058728298326210055
MG3V,34,0.00013645238075922373,3.0,471518.27412555367,5155.7964231151855,9.9531901471210254e-05,0.22195541454849807,0.0014682074581552514,0.004404622374465754
MG3V,35,0.00014676054048144596,4.0,303639.67577707767,2757.9015070408932,5.3552810230923225e-05,0.30871309961792009,0.0014682074581552514,0.0058728298326210055
MG3V,36,0.00015706870020366817,3.0,116582.80190785229,4402.8947076721815,8.568714128449274e-05,0.33550675635513366,0.0014682074581552514,0.004404622374465754
MG3V,37,0.00016737685992589037,3.0,107756.03925399482,4548.0307694320218,8.8693976555994381e-05,0.34817206620933139,0.0014682074581552514,0.004404622374465754
MG3V,38,0.00017768501964811258,3.0,99666.054363235831,4099.5894056930556,8.01008394193069e-05,0.34519489589558533,0.0014682074581552514,0.004404622374465754
MG3V,39,0.00018799317937033479,3.0,90260.275393538177,3592.6054430938675,7.0316138860593443e-05,0.34143205325112319,0.0014682074581552514,0.004404622374465754
MG3V,40,0.000198301339092557,3.0,82593.973067075014,3157.3000626897556,6.1893890665219568e-05,0.33686495579741316,0.0014682074581552514,0.004404622374465754
MG3V,41,0.0002086094988147792,3.0,75656.702629424632,2763.0005203080364,5.4242923934495379e-05,0.33177565795468478,0.0014682074581552514,0.004404622374465754
MG3V,42,0.00021891765853700141,3.0,69536.018778562546,2486.8917992054485,4.8887722874922113e-05,0.32946985853334798,0.0014682074581552514,0.004404622374465754
